@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric

@data
4,5,3.016675
4,10,2.986681
4,15,3.998543
4,20,4.694246
4,25,4.058832
4,30,4.509011
4,35,3.085169
4,40,4.681834
4,45,4.916133
4,50,3.925437
4,55,4.911389
4,60,4.90345
4,65,4.19523
4,70,4.336407
4,75,4.937586
4,80,3.838084
4,85,4.49437
4,90,4.934824
4,95,4.028971
4,100,4.674623
9,5,10.933242
9,10,11.9242
9,15,10.625268
9,20,12.013016
9,25,11.063437
9,30,11.947037
9,35,11.186544
9,40,12.037086
9,45,11.186314
9,50,11.58688
9,55,11.112314
9,60,11.974651
9,65,11.134795
9,70,11.720706
9,75,11.074564
9,80,11.855296
9,85,11.174146
9,90,11.887151
9,95,10.916871
9,100,11.809911
14,5,18.492302
14,10,18.813852
14,15,19.10416
14,20,18.480141
14,25,19.12903
14,30,18.499775
14,35,18.492905
14,40,19.084082
14,45,18.520863
14,50,19.017555
14,55,18.443338
14,60,18.462481
14,65,19.181801
14,70,17.536615
14,75,19.145939
14,80,19.072687
14,85,18.139929
14,90,19.118608
14,95,18.495817
14,100,18.318062
19,5,26.230886
19,10,25.682024
19,15,25.280989
19,20,26.396158
19,25,24.87067
19,30,25.764973
19,35,26.236654
19,40,25.670477
19,45,25.132095
19,50,24.952364
19,55,26.115253
19,60,25.461979
19,65,25.679731
19,70,26.180828
19,75,25.306816
19,80,25.25646
19,85,25.435961
19,90,26.299704
19,95,25.555216
19,100,25.624832
24,5,33.363411
24,10,33.640766
24,15,32.668324
24,20,32.962479
24,25,32.496563
24,30,33.561554
24,35,32.929276
24,40,32.69862
24,45,32.802074
24,50,32.416996
24,55,33.452957
24,60,32.923885
24,65,32.658867
24,70,32.267838
24,75,6.678274
24,80,33.092346
24,85,33.210918
24,90,32.734539
24,95,32.814606
24,100,32.64262
29,5,40.22007
29,10,40.848217
29,15,40.098763
29,20,39.579544
29,25,39.965115
29,30,40.082005
29,35,39.988487
29,40,39.383896
29,45,40.784645
29,50,40.917213
29,55,40.021839
29,60,40.402004
29,65,39.208717
29,70,39.966816
29,75,39.763023
29,80,40.867447
29,85,39.973495
29,90,40.215454
29,95,32.583549
29,100,39.706974
34,5,46.505268
34,10,46.460205
34,15,45.183868
34,20,46.737576
34,25,44.794735
34,30,45.154472
34,35,46.811424
34,40,47.952473
34,45,46.143318
34,50,45.642696
34,55,46.301556
34,60,46.477444
34,65,45.69595
34,70,46.791588
34,75,45.469864
34,80,45.777222
34,85,47.023376
34,90,46.5228
34,95,46.699162
34,100,45.213451
39,5,53.826336
39,10,54.66721
39,15,54.722717
39,20,54.068787
39,25,54.414665
39,30,54.214314
39,35,54.226704
39,40,54.457897
39,45,54.463127
39,50,54.343842
39,55,54.729069
39,60,54.801796
39,65,0.000004
39,70,54.071461
39,75,54.736404
39,80,53.592266
39,85,53.911777
39,90,54.128902
39,95,53.765198
39,100,52.05299
44,5,-0.000008
44,10,61.686298
44,15,62.295795
44,20,57.960514
44,25,56.737823
44,30,61.020317
44,35,61.584942
44,40,61.629932
44,45,62.05933
44,50,61.990295
44,55,62.163464
44,60,62.135887
44,65,60.956032
44,70,61.99345
44,75,61.667286
44,80,61.966492
44,85,61.944183
44,90,62.11816
44,95,61.862591
44,100,61.622257
49,5,68.881493
49,10,69.141327
49,15,69.548737
49,20,69.241882
49,25,69.374229
49,30,67.736603
49,35,69.365776
49,40,69.274536
49,45,68.75148
49,50,69.420532
49,55,69.039299
49,60,69.338829
49,65,69.334351
49,70,68.917717
49,75,69.561317
49,80,68.857826
49,85,69.301697
49,90,69.233734
49,95,69.096832
49,100,43.362263
54,5,74.736877
54,10,76.127213
54,15,76.748291
54,20,76.29084
54,25,76.849129
54,30,76.785149
54,35,76.820641
54,40,77.012749
54,45,76.714897
54,50,76.704979
54,55,76.710152
54,60,76.56897
54,65,76.777023
54,70,76.821426
54,75,76.748131
54,80,76.142204
54,85,76.580009
54,90,76.733932
54,95,76.423813
54,100,76.901978
59,5,84.10257
59,10,84.051193
59,15,83.969978
59,20,84.399612
59,25,84.351837
59,30,84.230972
59,35,83.146797
59,40,84.274292
59,45,84.165588
59,50,84.18
59,55,84.209625
59,60,83.658035
59,65,83.804863
59,70,84.381302
59,75,84.128677
59,80,84.212479
59,85,84.267586
59,90,82.896019
59,95,84.240074
59,100,84.29406
64,5,91.550941
64,10,91.595299
64,15,90.770927
64,20,90.617775
64,25,91.394859
64,30,91.541817
64,35,91.167198
64,40,91.682793
64,45,91.626366
64,50,91.230003
64,55,90.299896
64,60,91.529434
64,65,91.596786
64,70,91.357246
64,75,62.045174
64,80,91.002731
64,85,91.108032
64,90,91.609291
64,95,91.084381
64,100,91.295479
69,5,98.978287
69,10,98.669647
69,15,98.454811
69,20,99.014557
69,25,99.052872
69,30,97.833702
69,35,98.863014
69,40,98.696823
69,45,98.818542
69,50,98.551064
69,55,99.099609
69,60,99.28006
69,65,98.793221
69,70,97.610176
69,75,98.962456
69,80,98.873436
69,85,97.451607
69,90,98.910835
69,95,98.946419
69,100,98.429825
74,5,105.689148
74,10,106.422707
74,15,106.236412
74,20,105.735161
74,25,106.069977
74,30,106.179626
74,35,105.895805
74,40,106.314842
74,45,106.16774
74,50,106.100441
74,55,106.230247
74,60,106.07016
74,65,105.93367
74,70,106.515633
74,75,106.258293
74,80,105.773209
74,85,106.585449
74,90,106.363228
74,95,105.5327
74,100,105.960526
79,5,113.840118
79,10,112.830009
79,15,113.841057
79,20,113.448792
79,25,113.067673
79,30,113.807602
79,35,113.912682
79,40,113.052727
79,45,113.900528
79,50,110.628265
79,55,113.793137
79,60,85.744881
79,65,113.06826
79,70,113.572594
79,75,113.511391
79,80,113.212685
79,85,113.477997
79,90,113.858414
79,95,113.405525
79,100,113.825752
84,5,119.891365
84,10,120.691193
84,15,121.189903
84,20,119.269936
84,25,121.323387
84,30,121.186966
84,35,120.923866
84,40,120.857994
84,45,120.602837
84,50,120.60733
84,55,121.183784
84,60,120.74662
84,65,120.533333
84,70,120.602905
84,75,120.830605
84,80,119.096313
84,85,120.947334
84,90,121.135002
84,95,120.408134
84,100,120.888412
89,5,126.428825
89,10,128.396088
89,15,127.7714
89,20,127.825783
89,25,96.779762
89,30,127.035309
89,35,128.504379
89,40,127.880554
89,45,127.857262
89,50,127.509392
89,55,127.725777
89,60,128.427322
89,65,127.365959
89,70,128.035187
89,75,127.366722
89,80,128.099777
89,85,128.483047
89,90,128.13887
89,95,128.269333
89,100,127.306557
94,5,135.836945
94,10,135.148422
94,15,135.730804
94,20,135.059097
94,25,135.796127
94,30,135.272263
94,35,135.652054
94,40,135.428284
94,45,135.659271
94,50,135.920975
94,55,135.706955
94,60,135.871063
94,65,135.0168
94,70,135.438995
94,75,135.293716
94,80,135.918472
94,85,135.424042
94,90,136.083206
94,95,134.178482
94,100,136.189056
99,5,142.74382
99,10,143.287567
99,15,142.780853
99,20,141.428909
99,25,141.109268
99,30,143.134216
99,35,142.490311
99,40,84.575287
99,45,134.949631
99,50,141.282776
